Months.Since.1Jan1840,Year.Month.Day,cp30to90cm.gm-2
1911,1999-05-01,3.524014432573722e-4
1912,1999-06-01,3.474482900916955e-4
1913,1999-07-01,3.421833346084729e-4
1914,1999-08-01,3.3777149048163925e-4
1915,1999-09-01,3.3419212111135437e-4
1916,1999-10-01,3.3101343691496873e-4
1917,1999-11-01,3.2787405192597955e-4
1918,1999-12-01,3.2573876973390054e-4
1919,2000-01-01,2.1479056437412458e-4
1920,2000-02-01,2.3564193997782117e-4
1921,2000-03-01,2.5597057354509467e-4
1922,2000-04-01,2.742741633887874e-4
1923,2000-05-01,2.888123880559937e-4
1924,2000-06-01,2.993627913218783e-4
1925,2000-07-01,3.068869555435147e-4
1926,2000-08-01,3.1236275203217606e-4
1927,2000-09-01,3.1643156026586386e-4
1928,2000-10-01,3.192648183145389e-4
1929,2000-11-01,3.2101704157093066e-4
1930,2000-12-01,3.2239734191235415e-4
1931,2001-01-01,2.491286171390516e-4
1932,2001-02-01,2.6176409925504824e-4
1933,2001-03-01,2.750022060176286e-4
1934,2001-04-01,2.871396216318059e-4
1935,2001-05-01,2.969063611880955e-4
1936,2001-06-01,3.042226731986402e-4
1937,2001-07-01,3.094198374990351e-4
1938,2001-08-01,3.1322506699669203e-4
1939,2001-09-01,3.164994564831793e-4
1940,2001-10-01,3.1873469182562423e-4
1941,2001-11-01,3.201530224539886e-4
1942,2001-12-01,3.210637239654299e-4
1943,2002-01-01,3.2317921402513593e-4
1944,2002-02-01,3.250908113442555e-4
1945,2002-03-01,3.283437754890515e-4
1946,2002-04-01,3.318870036718082e-4
1947,2002-05-01,3.3462769141004645e-4
1948,2002-06-01,3.3561677900191485e-4
1949,2002-07-01,3.354957428613123e-4
1950,2002-08-01,3.3512083816268135e-4
1951,2002-09-01,3.345005436569572e-4
1952,2002-10-01,3.3336358630612793e-4
1953,2002-11-01,3.3184180793195987e-4
1954,2002-12-01,3.306998817762021e-4
1955,2003-01-01,3.0748492851673584e-4
1956,2003-02-01,3.1114745298600256e-4
1957,2003-03-01,3.1656017681348667e-4
1958,2003-04-01,3.220209525079315e-4
1959,2003-05-01,3.260685754394642e-4
1960,2003-06-01,3.285461534133892e-4
1961,2003-07-01,3.2986755394786947e-4
1962,2003-08-01,3.3038523176981546e-4
1963,2003-09-01,3.3054101435997166e-4
1964,2003-10-01,3.301717149234173e-4
1965,2003-11-01,3.2948525581545814e-4
1966,2003-12-01,3.289024463837023e-4
1967,2004-01-01,2.1781038995686604e-4
1968,2004-02-01,2.282903214103538e-4
1969,2004-03-01,2.3914884100717155e-4
1970,2004-04-01,2.4969704470940404e-4
1971,2004-05-01,2.5887530628802857e-4
1972,2004-06-01,2.6645226654628014e-4
1973,2004-07-01,2.725451771905806e-4
1974,2004-08-01,2.7748860280110243e-4
1975,2004-09-01,2.815216793106646e-4
1976,2004-10-01,2.845666545195555e-4
1977,2004-11-01,2.871209769426097e-4
1978,2004-12-01,2.8926114207670437e-4
1979,2005-01-01,2.880262368398274e-4
1980,2005-02-01,2.910979002912985e-4
1981,2005-03-01,2.952458576943e-4
1982,2005-04-01,2.994256090170787e-4
1983,2005-05-01,3.032375588973301e-4
1984,2005-06-01,3.0566798535291046e-4
1985,2005-07-01,3.0721317521708615e-4
1986,2005-08-01,3.0814567582491167e-4
1987,2005-09-01,3.088784793461993e-4
1988,2005-10-01,3.0909104232853895e-4
1989,2005-11-01,3.089468708260576e-4
1990,2005-12-01,3.087188286194897e-4
1991,2006-01-01,3.332655767208045e-4
1992,2006-02-01,3.3222274699351486e-4
1993,2006-03-01,3.3238186929844e-4
1994,2006-04-01,3.3272933524458343e-4
1995,2006-05-01,3.3246174909472374e-4
1996,2006-06-01,3.3162522747501576e-4
1997,2006-07-01,3.3018759087462057e-4
1998,2006-08-01,3.2864233819355717e-4
1999,2006-09-01,3.26951235920589e-4
2000,2006-10-01,3.248500184711463e-4
2001,2006-11-01,3.2276221020752585e-4
2002,2006-12-01,3.2051282173416396e-4
2003,2007-01-01,2.771532517773908e-4
2004,2007-02-01,2.808707615308319e-4
2005,2007-03-01,2.8572563669910535e-4
2006,2007-04-01,2.906239237252334e-4
2007,2007-05-01,2.943742964251397e-4
2008,2007-06-01,2.9731205522288517e-4
2009,2007-07-01,2.9917445802918536e-4
2010,2007-08-01,3.006066059327602e-4
2011,2007-09-01,3.0179294278303073e-4
2012,2007-10-01,3.0264628934213706e-4
2013,2007-11-01,3.0304703200472686e-4
2014,2007-12-01,3.0319717390240144e-4
2015,2008-01-01,3.076906919561103e-4
2016,2008-02-01,3.0831886485489367e-4
2017,2008-03-01,3.0981839987326884e-4
2018,2008-04-01,3.1167501497346406e-4
2019,2008-05-01,3.12822582525467e-4
2020,2008-06-01,3.1352691456134815e-4
2021,2008-07-01,3.136930899097045e-4
2022,2008-08-01,3.134293424381901e-4
2023,2008-09-01,3.1311240490095114e-4
2024,2008-10-01,3.1265635180535256e-4
2025,2008-11-01,3.1179563762827794e-4
2026,2008-12-01,0.00031082087546016244
2027,2009-01-01,7.41507008473752e-4
2028,2009-02-01,6.60911477693985e-4
2029,2009-03-01,5.971794706058709e-4
2030,2009-04-01,5.469226045042732e-4
2031,2009-05-01,5.056727859739584e-4
2032,2009-06-01,4.7096613597526297e-4
2033,2009-07-01,4.4212198157050377e-4
2034,2009-08-01,4.189165596895196e-4
2035,2009-09-01,4.002964061624783e-4
2036,2009-10-01,3.8462616170191764e-4
2037,2009-11-01,3.7165197999877524e-4
2038,2009-12-01,3.6139286866018186e-4
2039,2010-01-01,4.124441661524072e-4
2040,2010-02-01,3.9513610112640204e-4
2041,2010-03-01,3.84402426909514e-4
2042,2010-04-01,3.7784362500291714e-4
2043,2010-05-01,3.713755894593384e-4
2044,2010-06-01,3.6410166048742265e-4
2045,2010-07-01,3.57683767893262e-4
2046,2010-08-01,3.524253694917311e-4
2047,2010-09-01,3.4788024173005737e-4
2048,2010-10-01,3.43728804722572e-4
2049,2010-11-01,3.4035557717119943e-4
2050,2010-12-01,3.3797593642173027e-4
